feature,pipeline,r_age,p_age,sig_age,r_mlu,p_mlu,sig_mlu,n_valid
svd_2,SVD,-0.865,0.0,✅,-0.884,0.0,✅,200
w2v_score,RRL Baseline,-0.8,0.0,✅,-0.849,0.0,✅,200
score_late_complex,Dictionary,0.798,0.0,✅,0.728,0.0,✅,200
mattr,RRL Baseline,0.778,0.0,✅,0.566,0.0,✅,200
mlu,RRL Baseline,0.719,0.0,✅,1.0,0.0,✅,200
topic_late_complex,Seeded LDA,0.708,0.0,✅,0.809,0.0,✅,200
score_cdi,Dictionary,-0.676,0.0,✅,-0.47,0.0,✅,200
score_early_nouns,Dictionary,-0.649,0.0,✅,-0.47,0.0,✅,200
topic_social_words,Seeded LDA,-0.639,0.0,✅,-0.67,0.0,✅,200
svd_1,SVD,0.554,0.0,✅,0.832,0.0,✅,200
svd_3,SVD,0.496,0.0,✅,0.008,0.9117,❌,200
topic_descriptors,Seeded LDA,0.442,0.0,✅,0.032,0.6518,❌,200
score_social_words,Dictionary,-0.371,0.0,✅,-0.305,0.0,✅,200
topic_action_words,Seeded LDA,-0.357,0.0,✅,-0.722,0.0,✅,200
topic_early_nouns,Seeded LDA,-0.313,0.0,✅,-0.115,0.1063,❌,200
score_action_words,Dictionary,-0.241,0.0006,✅,-0.024,0.7355,❌,200
svd_5,SVD,-0.207,0.0033,✅,0.016,0.8272,❌,200
vocd,RRL Baseline,0.207,0.0032,✅,0.332,0.0,✅,200
svd_6,SVD,-0.206,0.0034,✅,-0.185,0.0087,✅,200
svd_8,SVD,0.12,0.0898,❌,0.066,0.3537,❌,200
svd_9,SVD,-0.078,0.2742,❌,-0.028,0.6908,❌,200
svd_4,SVD,-0.077,0.2801,❌,-0.009,0.9012,❌,200
score_descriptors,Dictionary,-0.029,0.6789,❌,-0.207,0.0033,✅,200
svd_10,SVD,0.02,0.7734,❌,0.011,0.8791,❌,200
svd_7,SVD,0.01,0.8868,❌,0.001,0.9941,❌,200
